"First Name","Last Name","Email","Section","Quiz 0 (Individual): Introduction","Quiz 0 (Group): Introduction","Quiz 1 (Individual): Basics","Quiz 1 (Group): Basics","Assignment 1: Basics","Assignment 1+: More basics","Project 1: BMI","Quiz 2 (Individual): Decisions and booleans","Quiz 2 (Group): Decisions and booleans","Assignment 2: Decisions and Booleans","Assignment 2+: Decisions and booleans","Quiz 3 (Individual): While loops","Quiz 3 (Group): While loops","Assignment 3: While loops","Assignment 3+: While loops","Project 2: Commission","Quiz 4 (Individual): For loops","Quiz 4 (Group): For loops","Assignment 4: For loops","Assignment 4+: For loops","Quiz 5 (Individual): Algorithms and git","Quiz 5 (Group): Algorithms and git","Assignment 5+: Algorithms","Assignment 5: Algorithms and git","Project 3: Mult and harmonic","Midterm 1","Quiz 6 (Individual): Strings","Quiz 6 (Group): Strings","Assignment 6: Strings","Assignment 6+: Strings","Project 4: Calculator","Quiz 7 (Individual): Functions","Quiz 7 (Group): Functions","Assignment 7: Functions","Assignment 7+: Functions","Quiz 8 (Individual): Functions","Quiz 8 (Group): Functions","Assignment 8+: Functions for homework and fun","Assignment 8: TileTraveller","Quiz 9 (Individual): Files and exceptions","Quiz 9 (Group): Files and exceptions","Assignment 9: Files and Exceptions","Project 5: Hex and Decimal","Assignment 9+: Files and Exceptions","Quiz 10 (Individual): Lists","Quiz 10 (Group): Lists","Assignment 10: Lists","Assignment 10+: Lists","Project 6: Data Processing","Quiz 11 (Individual): Lists and tuples","Quiz 11 (Group): Lists and tuples","Assignment 11: Lists and tuples","Assignment 11+: Lists and tuples","Quiz 12 (Individual): More on functions","Quiz 12 (Group): More on functions","Assignment 12: More on functions","Assignment 12+: Snakes and Ladders","Project 7: Grades","Æfingapróf: Midterm 2 (2020)","Midterm 2","Assignment 13+: Functions return","Assignment 13: TileTraveller2","Project 8: Airline Seating","Quiz 13 (Individual): Dictionaries","Quiz 13 (Group): Dictionaries","Assignment 14: Dictionaries","Assignment 14+: Dictionaries","Quiz 14 (Individual): Sets and scope","Quiz 14 (Group): Sets and scope","Assignment 15: Sets","Assignment 15+: Customer Analytics","Project 9: Word classes","Æfingaverkefni: Stock prices (2019)"
"Draco","Malfoy","draco91@hsww.co.uk","Sl","0.0","0","0","0","0.0","0.0","10.0","30.0","50.0","30.0","0.0","25.0","35.0","25.0","0.0","8.0","30.0","35.0","20.0","0.0","35.0","35.0","0.0","0.0","19.0","32.0","35.0","45.0","25.0","0","20.0","30.0","45.0","25.0","0","47.0","37.0","0","5.0","15.0","15.0","10.0","10.0","0","20.0","25.0","5.0","0","6.0","35.0","45.0","20.0","0","35.0","35.0","15.0","0","6.0","0.0","29.0","0.0","17.0","4.0","30.0","45.0","5.0","0","30.0","35.0","10.0","0","0.0","0"
"Charlie","Weasley","charlie83@hsww.co.uk","Gr","35.0","45.0","45.0","45.0","30.0","24.0","10.0","25.0","45.0","30.0","11.0","45.0","35.0","2.0","0","10.0","30.0","50.0","30.0","0.0","40.0","40.0","0","10.0","16.0","33.0","45.0","40.0","25.0","0","16.0","25.0","35.0","25.0","0.0","30.0","30.0","0","5.0","15.0","10.0","20.0","20.0","0","30.0","40.0","14.0","0","0.0","25.0","45.0","0.0","0","35.0","35.0","15.0","0","20.0","31.0","40.0","0","17.0","0.0","25.0","45.0","15.0","0","30.0","35.0","10.0","0","0.0","0"
"Ronald","Weasley","ronald91@hsww.co.uk","Gr","50.0","45.0","35.0","45.0","30.0","24.0","10.0","50.0","50.0","30.0","16.0","45.0","50.0","30.0","0.0","9.0","50.0","50.0","30.0","0.0","25.0","35.0","0.0","10.0","19.0","40.0","50.0","50.0","30.0","0.0","20.0","35.0","40.0","25.0","0.0","40.0","40.0","0","5.0","25.0","20.0","20.0","19.0","0.0","40.0","45.0","14.0","0.0","16.0","45.0","50.0","19.0","0","45.0","45.0","19.0","0.0","20.0","40.0","80.0","0.0","17.0","20.0","30.0","45.0","10.0","0.0","0","0","0","0","0.0","0"
"Tracey","Davis","tracey91@hsww.co.uk","Sl","30.0","40.0","25.0","45.0","30.0","0.0","10.0","30.0","50.0","25.0","0","20.0","30.0","25.0","0","10.0","0","0","10.0","0","25.0","45.0","0","10.0","20.0","15.0","25.0","45.0","20.0","0","20.0","35.0","50.0","15.0","0","0","30.0","0","5.0","0","0","0","0","0","25.0","40.0","5.0","0.0","0.0","25.0","45.0","5.0","0","0","0","0","0","0.0","6.0","0.0","0","0","19.0","0","0","0","0","0","0","0","0","0.0","0"
"Hermione","Granger","hermione91@hsww.co.uk","Gr","50.0","50.0","45.0","45.0","30.0","24.0","10.0","45.0","50.0","30.0","16.0","50.0","50.0","30.0","18.0","10.0","50.0","50.0","30.0","15.0","50.0","50.0","5.0","10.0","20.0","40.0","50.0","50.0","30.0","14.0","20.0","45.0","45.0","25.0","30.0","50.0","50.0","15.0","5.0","30.0","30.0","25.0","20.0","10.0","45.0","45.0","24.0","10.0","20.0","45.0","50.0","25.0","5.0","50.0","50.0","25.0","5.0","18.0","40.0","77.0","9.0","17.0","10.0","40.0","50.0","25.0","5.0","50.0","50.0","15.0","5.0","10.0","0"
"Luna","Lovegood","luna92@hsww.co.uk","Ra","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anthony","Goldstein","anthony91@hsww.co.uk","Ra","40.0","45.0","40.0","40.0","26.0","19.0","10.0","40.0","50.0","30.0","16.0","20.0","50.0","30.0","12.0","10.0","45.0","50.0","30.0","0","10.0","15.0","0.0","0.0","19.0","28.0","45.0","50.0","30.0","0","20.0","35.0","40.0","25.0","0","37.0","40.0","0","5.0","10.0","25.0","5.0","19.0","0","35.0","45.0","14.0","0","0.0","45.0","50.0","11.0","0","40.0","40.0","0.0","0","0.0","0","7.0","0","0","20.0","20.0","45.0","10.0","0","0","0","0","0","0","0"
"Cedric","Diggory","cedric89@hsww.co.uk","Hu","45.0","50.0","40.0","45.0","24.0","10.0","10.0","40.0","50.0","30.0","16.0","0","0","25.0","0","0","50.0","50.0","20.0","0","25.0","35.0","0","5.0","17.0","39.5","0","0","15.0","0","17.0","30.0","40.0","25.0","0.0","0","0","0.0","5.0","0.0","5.0","15.0","16.0","0","0","0","0","0.0","7.0","35.0","45.0","15.0","0","0","10.0","15.0","0.0","20.0","0","51.0","0","0","8.0","20.0","45.0","15.0","0","0","0","0","0","0","0"
"Oliver","Wood","oliver87@hsww.co.uk","Gr","0.0","0.0","30.0","40.0","30.0","0.0","10.0","40.0","50.0","30.0","0","20.0","35.0","25.0","0","8.0","35.0","50.0","30.0","0.0","30.0","45.0","0","10.0","0.0","19.5","35.0","45.0","30.0","0","20.0","25.0","40.0","25.0","0","0","32.0","0","5.0","20.0","35.0","5.0","4.0","0","25.0","35.0","10.0","0.0","0.0","20.0","40.0","0.0","0.0","0","0","0.0","0","9.0","0.0","30.0","0","0","0.0","0.0","20.0","7.0","0","15.0","0","0.0","0","0.0","0"
"Susan","Bones","susan91@hsww.co.uk","Hu","0","0","45.0","45.0","30.0","24.0","10.0","45.0","50.0","30.0","16.0","30.0","45.0","10.0","0.0","10.0","50.0","50.0","30.0","0.0","15.0","25.0","0","10.0","18.0","40.0","40.0","45.0","30.0","0.0","20.0","30.0","45.0","25.0","0","42.0","45.0","0","5.0","15.0","15.0","20.0","0.0","0","35.0","45.0","10.0","0","16.0","35.0","45.0","25.0","0.0","30.0","45.0","5.0","0","14.0","0.0","61.0","0","17.0","0.0","35.0","45.0","10.0","0","30.0","45.0","10.0","0","10.0","0"
"Angelina","Johnson","angelina89@hsww.co.uk","Gr","50.0","50.0","40.0","40.0","30.0","24.0","10.0","50.0","50.0","30.0","16.0","50.0","40.0","30.0","18.0","10.0","45.0","45.0","30.0","15.0","50.0","50.0","10.0","10.0","20.0","40.0","45.0","45.0","30.0","14.0","20.0","50.0","50.0","25.0","20.0","47.0","50.0","15.0","5.0","20.0","30.0","25.0","20.0","10.0","45.0","45.0","24.0","10.0","20.0","45.0","50.0","25.0","0.0","45.0","45.0","25.0","0.0","20.0","0.0","78.0","0.0","17.0","20.0","45.0","45.0","25.0","0.0","50.0","50.0","15.0","0.0","0.0","0"
"Bill","Weasley","bill82@hsww.co.uk","Gr","0.0","0.0","35.0","0","12.0","10.0","5.0","0","0","0","0","0.0","0.0","0","0.0","3.0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","30.0","30.0","0","0","0.0","0","0","0","0","35.0","35.0","0","0","0","0","0.0","5.0","0.0","20.0","20.0","0","0","0.0","0","0","0","0","10.0","35.0","0","0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cho","Chang","cho90@hsww.co.uk","Ra","45.0","45.0","35.0","45.0","30.0","24.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kenneth","Towler","kenneth89@hsww.co.uk","Gr","40.0","45.0","45.0","45.0","30.0","0.0","10.0","40.0","45.0","30.0","0.0","40.0","45.0","25.0","0.0","10.0","40.0","45.0","30.0","0","25.0","40.0","0.0","10.0","19.0","40.0","35.0","50.0","30.0","0","18.0","30.0","35.0","25.0","0","40.0","40.0","0","5.0","10.0","15.0","20.0","12.0","0","30.0","40.0","14.0","0","11.0","45.0","50.0","19.0","0","40.0","45.0","15.0","0","4.0","0","37.0","0","17.0","5.0","30.0","50.0","10.0","0","35.0","35.0","10.0","0","0.0","0"
"Natalie","MacDonald","natalie94@hsww.co.uk","Gr","0.0","0.0","40.0","45.0","30.0","24.0","10.0","50.0","50.0","30.0","16.0","35.0","35.0","30.0","18.0","8.75","45.0","50.0","30.0","5.0","45.0","45.0","0","10.0","20.0","40.0","45.0","45.0","30.0","5.0","20.0","30.0","50.0","25.0","0","35.0","40.0","0.0","5.0","20.0","30.0","20.0","20.0","5.0","35.0","40.0","15.0","0","20.0","50.0","50.0","20.0","0","40.0","45.0","20.0","0","20.0","0.0","43.0","0","12.0","10.0","35.0","35.0","15.0","0","40.0","45.0","0.0","0","0","0"
"Kevin","Entwhistle","kevin91@hsww.co.uk","Ra","50.0","50.0","40.0","45.0","30.0","24.0","10.0","50.0","50.0","30.0","16.0","45.0","50.0","25.0","18.0","10.0","50.0","50.0","30.0","15.0","40.0","45.0","5.0","10.0","19.0","39.0","50.0","50.0","30.0","14.0","18.0","40.0","40.0","25.0","20.0","45.0","50.0","0.0","5.0","30.0","30.0","22.0","20.0","0","45.0","45.0","19.0","0","18.0","50.0","50.0","25.0","0.0","50.0","50.0","24.0","0","17.0","40.0","80.0","0","17.0","20.0","40.0","50.0","25.0","0.0","45.0","50.0","15.0","0.0","0.0","0"
"Theodore","Nott","theodore91@hsww.co.uk","Sl","40.0","40.0","0.0","0","0","0","0.0","0","0","0","0.0","10.0","5.0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0.0","4.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jimmy","Peakes","jimmy94@hsww.co.uk","Gr","40.0","45.0","30.0","35.0","30.0","0.0","10.0","0.0","0","30.0","0.0","30.0","45.0","25.0","0","9.0","0","0","15.0","0","40.0","40.0","0","5.0","19.0","38.0","45.0","45.0","30.0","0","19.0","0","40.0","23.0","0","40.0","40.0","0","5.0","25.0","20.0","5.0","16.0","0","0","0","5.0","0","20.0","42.0","50.0","25.0","0","35.0","45.0","9.0","0","8.0","0","50.0","0","17.0","10.0","20.0","40.0","10.0","0","0","0","0","0","0","0"
